tu_id	speaker	start	end	duration	text
     1	SP1	0.000	0.820	0.820	per quattro?
     2	SP2	3.000	5.280	2.280	no un chilo settecento grammi di pasta
     3	SP1	5.400	7.940	2.540	eh [vabbè ma] perché quello il padre se ne mangia assai io so
     4	SP2	5.580	6.050	0.470	[con due]
     5	SP2	8.080	11.080	3.000	il padre va e ne mangia: ne mangia una scodella di insalata
     6	SP1	11.115	11.413	0.298	eh
     7	SP2	13.980	17.730	3.750	con due vasetti del pesto quello là barilla:
     8	SP2	18.015	18.300	0.285	[rico-]
     9	SP1	18.015	20.035	2.020	[vabbè] grazie *co settecento grammi di pasta
    10	SP2	20.700	21.621	0.921	ricotta e noci,
    11	SP2	22.160	23.168	1.008	non contenta:
    12	SP2	23.409	24.825	1.416	il fiordilatte dentro,
    13	SP2	25.212	26.227	1.015	non contenta
    14	SP2	26.520	27.940	1.420	il parmigiano sopra
    15	SP1	28.990	29.780	0.790	e lo stona
    16	SP2	30.720	34.040	3.320	non contenta mi ha detto eh se *c'avevo le noci mettevo pure le noci sopra
    17	SP3	34.290	34.820	0.530	[(ah no?)]
    18	SP1	34.290	34.820	0.530	[no:]
    19	SP1	35.530	36.225	0.695	(che bravo)
    20	SP2	36.740	39.780	3.040	(*ua) mi piacevano tanto quelle zucchine le [avete] mangiate tutte?
    21	SP3	38.755	39.038	0.283	[mh]
    22	SP1	40.120	42.590	2.470	sorry: te le rifaccio prima che te ne vai
    23	SP3	42.820	43.240	0.420	e:h
    24	SP2	43.445	44.310	0.865	((ride)) prima che te ne vai
    25	SP3	44.440	44.624	0.184	m:h
    26	SP2	44.730	45.334	0.604	dov'è che va via?
    27	SP3	45.860	46.840	0.980	sai che possiamo [fa]re?
    28	SP2	46.370	46.588	0.218	[x]
    29	SP2	47.340	47.650	0.310	°no°
    30	SP3	47.760	50.350	2.590	con questa zucchinona gigante che tengo la vogliamo arrostire?
    31	SP3	50.800	54.680	3.880	adesso tipo cioè non ce la mangiamo adesso però: lo facciamo per domani magari
