tu_id	speaker	start	end	duration	text
     1	SP1	0.000	0.920	0.920	per 4
     2	SP2	3.000	5.280	2.280	no un chilo e 700 grammi di pasta
     3	SP1	5.520	7.940	2.420	eh vabb[è perché quello] il padre se ne mangia assai io so
     4	SP2	5.779	6.455	0.676	[con due]
     5	SP2	8.080	11.048	2.968	il padre va e ne mangia:: ne mangia una scotella di insalata
     6	SP1	11.075	11.524	0.449	a:h
     7	SP2	13.980	18.441	4.461	con due vasetti del pesto quello là barilla:: [rico-]
     8	SP1	17.903	20.117	2.214	[eh ma] grazie settecento grammi di pasta
     9	SP2	20.724	21.889	1.165	ricotta e noci
    10	SP2	22.165	24.958	2.793	non contenta (.) il fiordilatte dentro
    11	SP2	25.262	27.972	2.710	non contenta (.) il parmigiano sopra
    12	SP1	29.000	29.931	0.931	e lo (scono)
    13	SP2	30.720	34.040	3.320	non contento mi ha detto eh se c'avevo gli xx ci mettevo pure le noci sopra
    14	SP1	34.240	35.013	0.773	[no::]
    15	SP3	34.296	34.951	0.655	[(bravo)]
    16	SP1	35.510	36.627	1.117	che bravo
    17	SP3	36.740	39.827	3.087	ma mi piacevano tanto quelle zucchine le avete mangiate tutte
    18	SP1	40.120	42.590	2.470	sorry (.) te le rifaccio prima che te ne vai
    19	SP3	42.841	43.365	0.524	mhmh
    20	SP2	43.441	44.460	1.019	((ride)) ma che te ne vai?
    21	SP3	44.496	44.758	0.262	mh
    22	SP2	44.786	45.613	0.827	>ti piace andar via<
    23	SP2	45.860	46.937	1.077	sai che possiamo fare?
    24	SP3	47.406	47.662	0.256	ah
    25	SP4	47.841	50.558	2.717	con questa zucchina gigante che tengo: la vogliamo arrostire?
    26	SP4	50.800	54.724	3.924	adesso tipo c(io)è non ce la mangiamo adesso però (.) lo facciamo per domani non è
    27	SP1	54.760	55.296	0.536	va bene
    28	SP3	55.560	57.958	2.398	ma perché la zucchinona non l'avevi già fatta?
    29	SP4	58.220	59.558	1.338	no erano due zucchino[ne]
    30	SP3	59.324	59.979	0.655	[°lo] zucchinone°
    31	SP4	59.979	62.268	2.289	una l'ho fatta l'altra:: mh
    32	SP1	62.268	64.690	2.422	eh ma l'[altra metà] perché metà [si deve ta]glia:re
    33	SP4	62.717	63.303	0.586	[(come) xx]
    34	SP4	63.613	63.979	0.366	[eh]
    35	SP4	64.724	69.213	4.489	perché nel frigo: sarà troppo forte: se: mh il ghiaccio l'ha tipo un po': mh
    36	SP1	65.606	67.158	1.552	[il ghiaccio:: latte:]
    37	SP4	69.696	72.000	2.304	disturbata diciamo così non [so come di]re:
    38	SP3	71.103	71.551	0.448	[m:h]
    39	SP4	72.172	74.020	1.848	cioè si è fatta tipo molla [stra:na]
    40	SP3	73.317	74.360	1.043	[si è congelata]
    41	SP4	75.360	77.324	1.964	eh ma si è fatta molla [stra:na xx]
    42	SP3	76.365	78.082	1.717	[eh si è brucia:ta] si è::
    43	SP4	78.144	79.944	1.800	bravo tipo forse una bruciatura dal gelo
    44	SP3	80.580	81.020	0.440	m:h
    45	SP3	84.400	86.560	2.160	mi è piaciuto come le ha:: fatte miriana
    46	SP1	87.000	87.520	0.520	olè?
    47	SP3	87.951	89.924	1.973	ci ha messo dentro l'origano tuttavia
    48	SP4	90.537	94.772	4.235	d- però do- dovresti essere contenta il primo: complimento da qua che hai cucinato  qualcosa a tu
    49	SP1	95.560	99.020	3.460	grazie gra- me lo ricorderò a vita: sappiate che non si replicherà mai più
    50	SP3	99.041	99.820	0.779	((ride))
    51	SP1	100.680	106.620	5.940	no perché poi io invece e:h adoro (.) i- come mangiano in ospedale praticamente fabiana me lo dice sempre
    52	SP1	106.900	108.062	1.162	adoro senza sale
    53	SP1	108.606	112.793	4.187	cioè meno sale c'è più mi pia:ce senza olio, senza niente, cioè meno condimento è
    54	SP3	112.855	114.718	1.863	questo sale l'ho preso perché mi hai visto tu eh però
    55	SP1	114.771	116.000	1.229	no no sì sì questo sì
    56	SP2	116.720	117.500	0.780	più o meno
    57	SP1	118.240	119.700	1.460	no ci sono cose e co:se
    58	SP1	120.160	123.409	3.249	però tipo la pasta la sto mangiando quasi completamente senza sa:le
    59	SP3	123.480	123.840	0.360	m:h
    60	SP2	124.660	126.020	1.360	non fa schifo la pasta senza sa-?
    61	SP1	126.020	130.932	4.912	lo so ma mi sono abituata al sapore >ormai pure quando ci metti un pizzico di sale la sento salatissima<
    62	SP3	130.960	132.704	1.744	cioè la metti proprio: (.) il sale nell'acqu[a]
    63	SP1	132.640	133.308	0.668	[n:]o
    64	SP1	134.460	134.899	0.439	m:h
    65	SP2	135.114	135.711	0.597	co:[sa]
    66	SP3	135.201	136.187	0.986	[ma chii:] famo
    67	SP1	136.620	139.812	3.192	eh non lo so però non: mi sono abituata non so perché
    68	SP3	141.006	141.530	0.524	va beh
    69	SP4	141.720	142.563	0.843	che problema hai?
    70	SP1	142.880	145.375	2.495	e:h infatti che problema ho ditemelo voi
    71	SP2	145.400	146.711	1.311	ah beh meglio così in realtà:
    72	SP3	146.760	147.160	0.400	tanti
    73	SP1	147.980	149.500	1.520	ma no: veramente tantissimi
    74	SP2	149.660	150.422	0.762	cioè voglio dire
    75	SP3	150.335	150.711	0.376	[ops]
    76	SP2	150.771	158.456	7.685	che non la vuoi: sala:- cioè che non vuoi mettere il sale nel condimento della pasta però non salare l'acqua quando la bolli è illega[le]
    77	SP4	158.410	159.033	0.623	[e]sa:t[to]
    78	SP2	158.791	159.302	0.511	[non si fa]
    79	SP1	159.114	160.093	0.979	[<è] illegale>
    80	SP1	161.000	168.073	7.073	lo so ma t- vi giu:ro che io sento ormai sempre salato pure se ci metti un pizzico io non ce la faccio a mangiarla non so quante volte lo dico a (tua) mamma
    81	SP3	168.510	169.640	1.130	va beh meglio così
    82	SP1	170.255	172.691	2.436	perché la sento oggettivamente sala:ta
    83	SP2	175.720	177.630	1.910	io comunque non so voi ancora fame voi?
    84	SP3	178.161	179.335	1.174	io: non particolarmen-
    85	SP1	179.308	179.912	0.604	[io: no]
    86	SP2	179.320	180.820	1.500	[ma non ti xxi:] queste melanzanette
    87	SP4	180.946	183.214	2.268	io volevo: m:h zucchina:: di miliana
    88	SP4	183.420	184.885	1.465	non mi si mangia ciocco[lato]
    89	SP2	184.295	185.342	1.047	[(te non sai proprio niente:)]
    90	SP1	184.906	187.892	2.986	[se:nti non so] se già le hai assaggiate mamma mia fanno schifo queste cose
    91	SP3	189.660	190.180	0.520	va beh
    92	SP3	192.100	193.980	1.880	non sono quelle della mamma [ma sono buone]
    93	SP1	193.187	196.986	3.799	[no: no sono] brutte proprio amo' sono: sott'aceto non sott'olio
    94	SP3	197.260	198.120	0.860	è vero però
    95	SP1	198.180	199.100	0.920	no sono bruttissime
    96	SP3	199.180	199.604	0.424	miri
    97	SP3	199.812	203.114	3.302	c'è (anzuma) se fai questa catti[va pubblicità roberto non se le mangia:]
    98	SP1	201.194	203.013	1.819	[lo so ma non mi piacciono:] ((ride))
    99	SP2	204.380	207.295	2.915	ma a me neanche piacciono °piacciono solo quelle di mamma°
   100	SP3	207.993	208.416	0.423	mh
   101	SP3	208.940	210.953	2.013	>a me piacciono soltanto quelle della mamma di roberto<
   102	SP4	211.120	212.700	1.580	fanno schifo sanno di zenzero
   103	SP1	211.315	211.718	0.403	[ah]
   104	SP1	212.840	214.060	1.220	sono mh di zenzero
   105	SP3	214.087	214.580	0.493	ma no:
   106	SP1	214.697	216.181	1.484	no zentero non saprei
   107	SP3	218.400	220.087	1.687	>per me quelle di miliana sanno di ace:to<
   108	SP2	220.240	222.248	2.008	no non sono buone (.) sono brutte proprio
   109	SP4	222.261	223.308	1.047	[le vuoi buttare?]
   110	SP1	222.268	223.657	1.389	[sì sono brutte:]
   111	SP3	223.840	226.201	2.361	che dite le buttiamo e come xxxxx madre di roberto?
   112	SP1	226.389	227.221	0.832	[e::h]
   113	SP3	226.900	227.800	0.900	[che ne] pensate?
   114	SP2	227.993	228.780	0.787	beh peccato
   115	SP1	228.980	230.402	1.422	[un po' uno s]pre:co
   116	SP3	229.107	229.550	0.443	[m:h]
   117	SP3	231.200	233.680	2.480	eh lo so ragà però [pure io non posso xxx per forza]
   118	SP2	232.610	235.671	3.061	[però sono veramente brutte] queste mamma mia sembrano finte ma che è
   119	SP1	235.684	237.369	1.685	e:h sono bruttissime::
   120	SP2	237.700	239.161	1.461	non hanno una texture sono
   121	SP2	241.240	244.268	3.028	io un tempo compravo quelle là::? della lidl
   122	SP1	244.604	245.100	0.496	m:h
   123	SP2	245.932	246.640	0.708	bare:sa
   124	SP1	246.700	250.360	3.660	no ma ce ne sono delle macche in barattolo che sono buone ma queste sono proprio brutte
   125	SP3	250.442	253.704	3.262	eh queste sono- da amico in teoria dovrebbero c(io)è una [marca buona co]sto
   126	SP2	252.510	253.516	1.006	[costano no?]
   127	SP1	253.718	254.140	0.422	m::h
   128	SP2	254.140	255.275	1.135	costano queste
   129	SP1	256.420	257.818	1.398	e come mamma me l'ha comprata?
   130	SP2	257.812	258.812	1.000	((ride))
   131	SP1	258.624	259.979	1.355	((ride))
   132	SP2	259.791	260.644	0.853	>ha fatto i [soldi]<
   133	SP1	260.295	261.953	1.658	[scusa:] ((ride)) infatti
