tu_id	speaker	start	end	duration	text
0	SP1	0.000	0.920	0.920	per 4
1	SP2	3.000	5.280	2.280	no un chilo e 700 grammi di pasta
2	SP1	5.520	7.940	2.420	eh vabb[è perché quello] il padre se ne mangia assai io so
3	SP2	5.779	6.455	0.676	[con due]
4	SP2	8.080	11.048	2.968	il padre va e ne mangia:: ne mangia una scotella di insalata
5	SP1	11.075	11.524	0.449	a:h
6	SP2	13.980	18.441	4.461	con due vasetti del pesto quello là barilla:: [rico-]
7	SP1	17.903	20.117	2.214	[eh ma] grazie settecento grammi di pasta
8	SP2	20.724	21.889	1.165	ricotta e noci
9	SP2	22.165	24.958	2.793	non contenta (.) il fiordilatte dentro
10	SP2	25.262	27.972	2.710	non contenta (.) il parmigiano sopra
11	SP1	29.000	29.931	0.931	e lo (scono)
12	SP2	30.720	34.040	3.320	non contento mi ha detto eh se c'avevo gli xx ci mettevo pure le noci sopra
13	SP1	34.240	35.013	0.773	[no::]
14	SP3	34.296	34.951	0.655	[(bravo)]
15	SP1	35.510	36.627	1.117	che bravo
16	SP3	36.740	39.827	3.087	ma mi piacevano tanto quelle zucchine le avete mangiate tutte
17	SP1	40.120	42.590	2.470	sorry (.) te le rifaccio prima che te ne vai
18	SP3	42.841	43.365	0.524	mhmh
19	SP2	43.441	44.460	1.019	((ride)) ma che te ne vai?
20	SP3	44.496	44.758	0.262	mh
21	SP2	44.786	45.613	0.827	>ti piace andar via<
22	SP2	45.860	46.937	1.077	sai che possiamo fare?
23	SP3	47.406	47.662	0.256	ah
24	SP4	47.841	50.558	2.717	con questa zucchina gigante che tengo: la vogliamo arrostire?
25	SP4	50.800	54.724	3.924	adesso tipo c(io)è non ce la mangiamo adesso però (.) lo facciamo per domani non è
26	SP1	54.760	55.296	0.536	va bene
27	SP3	55.560	57.958	2.398	ma perché la zucchinona non l'avevi già fatta?
28	SP4	58.220	59.558	1.338	no erano due zucchino[ne]
29	SP3	59.324	59.979	0.655	[°lo] zucchinone°
30	SP4	59.979	62.268	2.289	una l'ho fatta l'altra:: mh
31	SP1	62.268	64.690	2.422	eh ma l'[altra metà] perché metà [si deve ta]glia:re
32	SP4	62.717	63.303	0.586	[(come) xx]
33	SP4	63.613	63.979	0.366	[eh]
34	SP4	64.724	69.213	4.489	perché nel frigo: sarà troppo forte: se: mh il ghiaccio l'ha tipo un po': mh
35	SP1	65.606	67.158	1.552	[il ghiaccio:: latte:]
36	SP4	69.696	72.000	2.304	disturbata diciamo così non [so come di]re:
37	SP3	71.103	71.551	0.448	[m:h]
38	SP4	72.172	74.020	1.848	cioè si è fatta tipo molla [stra:na]
39	SP3	73.317	74.360	1.043	[si è congelata]
40	SP4	75.360	77.324	1.964	eh ma si è fatta molla [stra:na xx]
41	SP3	76.365	78.082	1.717	[eh si è brucia:ta] si è::
42	SP4	78.144	79.944	1.800	bravo tipo forse una bruciatura dal gelo
43	SP3	80.580	81.020	0.440	m:h
44	SP3	84.400	86.560	2.160	mi è piaciuto come le ha:: fatte miriana
45	SP1	87.000	87.520	0.520	olè?
46	SP3	87.951	89.924	1.973	ci ha messo dentro l'origano tuttavia
47	SP4	90.537	94.772	4.235	d- però do- dovresti essere contenta il primo: complimento da qua che hai cucinato  qualcosa a tu
48	SP1	95.560	99.020	3.460	grazie gra- me lo ricorderò a vita: sappiate che non si replicherà mai più
49	SP3	99.041	99.820	0.779	((ride))
50	SP1	100.680	106.620	5.940	no perché poi io invece e:h adoro (.) i- come mangiano in ospedale praticamente fabiana me lo dice sempre
51	SP1	106.900	108.062	1.162	adoro senza sale
52	SP1	108.606	112.793	4.187	cioè meno sale c'è più mi pia:ce senza olio, senza niente, cioè meno condimento è
53	SP3	112.855	114.718	1.863	questo sale l'ho preso perché mi hai visto tu eh però
54	SP1	114.771	116.000	1.229	no no sì sì questo sì
55	SP2	116.720	117.500	0.780	più o meno
56	SP1	118.240	119.700	1.460	no ci sono cose e co:se
57	SP1	120.160	123.409	3.249	però tipo la pasta la sto mangiando quasi completamente senza sa:le
58	SP3	123.480	123.840	0.360	m:h
59	SP2	124.660	126.020	1.360	non fa schifo la pasta senza sa-?
60	SP1	126.020	130.932	4.912	lo so ma mi sono abituata al sapore >ormai pure quando ci metti un pizzico di sale la sento salatissima<
61	SP3	130.960	132.704	1.744	cioè la metti proprio: (.) il sale nell'acqu[a]
62	SP1	132.640	133.308	0.668	[n:]o
63	SP1	134.460	134.899	0.439	m:h
64	SP2	135.114	135.711	0.597	co:[sa]
65	SP3	135.201	136.187	0.986	[ma chii:] famo
66	SP1	136.620	139.812	3.192	eh non lo so però non: mi sono abituata non so perché
67	SP3	141.006	141.530	0.524	va beh
68	SP4	141.720	142.563	0.843	che problema hai?
69	SP1	142.880	145.375	2.495	e:h infatti che problema ho ditemelo voi
70	SP2	145.400	146.711	1.311	ah beh meglio così in realtà:
71	SP3	146.760	147.160	0.400	tanti
72	SP1	147.980	149.500	1.520	ma no: veramente tantissimi
