speaker_1	0.065	1.139	1.074	per quattro
speaker_1	5.673	7.849	2.176	e [vabbè ma] perché quello il pane se ne mangia assai io so
speaker_1	11.120	11.473	0.353	ah
speaker_1	18.084	20.084	2.000	[vabbè] grazie so settecento grammi di pasta
speaker_1	28.931	30.165	1.234	che non stona:
speaker_1	34.328	34.857	0.529	[no:]
speaker_1	35.614	36.316	0.702	xxx
speaker_1	40.191	40.788	0.597	sorry
speaker_1	40.992	42.685	1.693	te le rifaccio prima che te ne vai
speaker_1	54.725	55.331	0.606	va bene
speaker_1	62.209	64.699	2.490	eh ma l'[altra metà] perché metà [si de]ve tagliare
speaker_1	65.650	66.193	0.543	[il ghiaccio]
speaker_1	66.299	67.063	0.764	[(laser)]
speaker_1	87.163	87.668	0.505	olè
speaker_1	95.503	99.103	3.600	grazie gra- me lo ricorderò a vita sappiate che non si replicherà mai più
speaker_1	100.584	112.913	12.329	non perchè poi a me ceh a- adoro i come mangiano in ospedale praticamente fabiana me lo dice sempre adoro senza sale cioè meno sale c'è più mi piace senza olio senza niente ceh meno condimento è
speaker_1	113.500	113.754	0.254	[eh]
speaker_1	114.823	115.942	1.119	no no sì sì questo sì
speaker_1	118.302	119.633	1.331	no ci sono cose e cose
speaker_1	120.233	123.408	3.175	però >tipo< la pasta io la sto mangiando quasi completamente senza sale
speaker_1	126.064	130.948	4.884	lo so ma mi sono abituata al sapore ormai pure quando ci metti un pizzico di sale io la sento salatissima
speaker_1	132.716	133.168	0.452	no
speaker_1	134.539	134.813	0.274	mh
speaker_1	136.687	139.703	3.016	eh lo so però no mi sono abituata non so perché
speaker_1	142.697	145.321	2.624	e infatti che problema ho? ditemelo voi
speaker_1	148.063	149.428	1.365	ma veramente tantissimi
speaker_1	159.077	160.066	0.989	[è ille]gale
speaker_1	161.069	167.960	6.891	lo so ma t- vi giuro che io sento ormai sempre salato pure se ci metti un pizzico io non ce la faccio a mangiarla non so quante volte ho litigato con mamma
speaker_1	170.275	172.597	2.322	perché la sento oggettivamente salata
speaker_1	179.315	179.863	0.548	[io no]
speaker_2	3.020	5.467	2.447	non un chilo settecento grammi di pasta
speaker_2	5.717	6.105	0.388	[con due]
speaker_2	8.276	11.052	2.776	il padre van- mangia: ne mangia una scodella d'insalata
speaker_2	13.962	17.829	3.867	con due vasetti del pesto quello là barilla:
speaker_2	18.084	18.332	0.248	[un po']
speaker_2	20.719	28.106	7.387	ricotta e noci non contenta il fior di latte dentro non contenta il parmigiano sopra
speaker_2	30.757	34.046	3.289	non contenta mi hai detto ah se c'avevo le noci mettevo pure le noci sopra
speaker_2	36.763	39.771	3.008	guà mi piacevano tanto quelle zucchine le avete mangiate tutte
speaker_2	43.575	44.400	0.825	ma che te ne vai?
speaker_2	44.762	45.577	0.815	dov'è che va via
speaker_2	45.957	46.951	0.994	sai che possiamo fare?
speaker_2	55.396	58.195	2.799	ma perché la zucchinona non l'avevi già fatta?
