1	12-10	è	_	_
1	16-12	il-	_	_
1	21-9	mh	_	_
1	21-14	mh	_	_
1	22-13	pro-	_	_
1	22-17	sì	_	_
1	23-0	mh	_	_
1	25-0	sì	_	_
1	26-14	mh	_	_
1	29-0	mhmh	_	_
1	30-4	per-	_	_
1	30-5	{P}	_	_
1	31-0	mhmh	_	_
1	32-0	mhmh	_	_
1	34-0	cioè	_	_
1	34-1	ecco	_	_
1	39-8	{P}	_	_
1	39-9	a	_	_
1	39-10	chiedere	_	_
1	40-16	{P}	_	_
1	43-0	sì	_	_
1	44-3	{P}	_	_
1	44-13	mh	_	_
1	45-0	assolutamente	_	_
1	49-0	{ride}	_	_
1	49-1	che	_	_
1	49-2	sono	_	_
1	51-0	eh	_	_
1	55-2	{P}	_	_
1	55-7	o	_	_
1	59-1	{ride}	_	_
1	60-0	sei	_	_
1	63-5	anche	_	_
1	70-7	a	_	_
1	70-9	e	_	_
1	70-11	eh	_	_
1	70-15	{P}	_	_
1	72-2	nomescuola	_	_
1	73-0	mhmh	_	_
1	78-0	il	_	_
1	78-1	nomescuola	_	_
1	79-0	s-	_	_
1	81-0	tecnico	_	_
1	84-0	e	_	_
1	84-1	di	_	_
1	84-5	{P}	_	_
1	85-0	professionale	_	_
1	86-12	eh	_	_
1	86-17	automeccanica	_	_
1	90-1	{P}	_	_
