1	1-0	no	_	_
1	4-2	man~	_	_
1	21-0	mh	_	_
1	27-1	lui	_	_
1	29-0	mhmh	_	_
1	31-6	{P}	_	_
1	38-0	x	_	_
1	39-4	{P}	_	_
1	40-4	è	_	_
1	43-6	se	_	_
1	43-7	ì	_	_
1	43-15	po	_	_
1	43-16	mh	_	_
1	44-0	il	_	_
1	44-1	ghiaccio	_	_
1	44-2	là	_	_
1	44-3	che	_	_
1	44-4	è	_	_
1	48-0	no	_	_
1	50-7	da	_	_
1	50-8	un	_	_
1	50-9	lato	_	_
1	57-0	x	_	_
1	58-5	è	_	_
1	66-4	pre	_	_
1	69-0	x	_	_
1	76-4	{P}	_	_
1	80-0	che	_	_
1	81-5	x	_	_
1	81-11	il	_	_
1	85-5	{P}	_	_
1	88-3	{ride}	_	_
1	92-5	è	_	_
1	94-0	esatto	_	_
1	101-2	particolarme~	_	_
1	101-3	mangiati	_	_
1	103-6	rosanna	_	_
1	104-0	le	_	_
1	104-1	avete	_	_
1	104-2	mangiate	_	_
1	104-3	tutte	_	_
