speaker	start	end	duration	text
SP1	0.180	0.920	0.740	(per quattro)
SP2	3.020	5.430	2.410	Non (uno chilo) settecento grammi di pasta
SP1	5.520	8.150	2.630	# e vabbé (ma quello è il padre sai mando sta) so
SP2	5.520	6.320	0.800	[(con quell-)]
SP2	8.340	11.120	2.780	il padre man- mangia: ne mangia una scodella di insalata
SP1	11.110	11.390	0.280	Ah
SP2	14.010	17.650	3.640	Con Due Vasetti del pesto quello là barilla:
SP1	17.980	20.020	2.040	[vabbé tan]to e t-t- tutti e due (programmi) di pasta
SP2	18.000	18.510	0.510	[(e poi)]
SP2	20.720	21.780	1.060	ricotte e noci'
SP2	22.200	23.220	1.020	non contenta
SP2	23.450	24.850	1.400	il fior di latte dentro
SP2	25.280	26.250	0.970	non contenta
SP2	26.650	27.890	1.240	il parmigiano sopra
SP1	28.980	29.830	0.850	(e non stono)?
SP2	30.760	33.930	3.170	# non contenta (per tutta la sessione uagliò) ci metto pure le noci sopra
SP3	34.290	34.620	0.330	[no]?
SP1	34.300	34.830	0.530	[no]:
SP1	35.570	36.320	0.750	(ti prego)
SP4	36.730	39.840	3.110	qua mi piacevano tanto quelle zucchine [le ave]te mangiate tutte?
SP3	38.740	39.040	0.300	[mh]
SP1	40.150	42.560	2.410	sorry: te le rifaccio prima che te ne vai
SP3	42.800	43.170	0.370	eh
SP5	43.530	44.400	0.870	ma che te ne vai?
SP3	44.580	44.920	0.340	[mh]
SP5	44.580	45.430	0.850	[(è lei)] che va via
SP2	45.970	46.820	0.850	sai che possiamo fare?
SP3	47.340	47.630	0.290	no
SP6	47.940	50.390	2.450	comunque le (zucchine raggixxx) che tengo le vogliamo arrostire?
SP6	50.750	51.700	0.950	adesso tipo?
SP6	51.810	53.400	1.590	cioé non ce le mangiamo adesso però
SP6	53.670	54.720	1.050	le facciamo per domani dai
SP1	54.770	55.270	0.500	va bene
SP3	55.540	57.670	2.130	ma perché la zucchina non- l- l'avevi già fatta?
SP6	58.280	59.470	1.190	amore erano due zucchinone
SP2	59.160	59.960	0.800	[°uno z]ucchinone°
SP6	59.970	61.970	2.000	una l'ho fatta l'altra:
SP1	62.290	64.800	2.510	E ma [l'altra è metà] perché [metà] si deve tagliare
SP6	62.610	63.320	0.710	[è nel frigo]
SP6	63.540	63.930	0.390	[eh]
SP6	64.790	67.330	2.540	perché nel frigo: [stava troppo forte: (se] è)
SP1	65.490	66.950	1.460	[il ghiaccio (l'al)xxx]
SP6	67.440	69.190	1.750	il ghiaccio l'ha tipo un po' uhm:
SP6	69.750	71.820	2.070	disturbata diciamo così [non so co]me dire
SP3	71.010	71.390	0.380	[mh]
SP6	72.200	73.950	1.750	cioé si è fatta tipo molla strana
SP2	73.420	74.500	1.080	# [s'é cong]elata
SP6	75.400	77.480	2.080	E ma si è fatta molla strana [(al babbo)]
SP2	76.410	78.110	1.700	[eh si è bruciata] si è:
SP6	78.110	79.880	1.770	bravo tipo fosse una bruciatura dal gelo
SP5	80.690	81.070	0.380	uh
SP4	84.370	86.630	2.260	(mi chiedevo come le ha: fatte emiliana)
SP1	86.990	87.670	0.680	come:
SP4	88.060	89.900	1.840	ci ha messo dentro l'[origa]no (tuttavia)
SP6	88.810	89.200	0.390	[ah]
SP6	90.610	94.760	4.150	davvero do- dovresti essere contenta il primo: complimento da qu- cunivano qualcosa tu
SP1	93.150	95.290	2.140	((applaude))
SP1	95.660	98.980	3.320	# grazie regà me lo ricorderò a vita sappiate che non si replicherà mai più
SP3	99.000	99.730	0.730	((ride))
SP1	100.540	106.570	6.030	no perché poi a me cioé e:h Adoro (.) i- come mangiano in ospedale praticamente fabiano me lo dice sempre
SP1	106.910	108.010	1.100	(adoro) senza sale
SP1	108.660	112.740	4.080	cioè meno sale c'é più mi piace senza olio senza niente meno condimento è
SP3	112.890	114.600	1.710	questo sale l'ho preso [per]ché mi hai visto tu eh però
SP1	113.470	113.750	0.280	[eh]
SP1	114.830	115.980	1.150	no no sì sì questo sì
SP4	116.780	117.340	0.560	più o meno
SP1	118.280	119.650	1.370	ma ci sono cose e cose
SP1	120.220	123.420	3.200	però tipo la pasta eh la sto mangiando quasi completamente senza sale
SP3	123.540	123.760	0.220	mh
SP3	124.740	125.930	1.190	ma fa schifo la pasta senza sale
SP1	126.010	130.920	4.910	lo so mi sono abituata al sapore ormai pure quando ci metti un pizzico di sale la sento salatissima
SP3	131.040	132.510	1.470	cioè non metti proprio il sale nell'acqua
SP1	132.540	133.160	0.620	<no>
SP1	134.560	134.850	0.290	mh
SP2	135.160	135.720	0.560	[cosa?]
SP6	135.160	136.190	1.030	[xxx co]mo:
SP1	136.700	139.700	3.000	eh lo so però non: mi sono abituata non so perché
SP3	141.060	141.530	0.470	vabbé
SP3	141.720	142.440	0.720	che problema hai?
SP1	142.710	145.350	2.640	eh INFAtti che problema ho? ditemelo voi
SP2	145.410	146.800	1.390	eh vabbé meglio così in realtà eh
SP6	146.780	147.190	0.410	tanti
SP1	148.060	149.450	1.390	mado veramente tantissimi ((ride))
SP3	148.820	149.430	0.610	((ride))
SP2	149.820	150.530	0.710	cioé io dir[ei]
SP6	150.290	150.590	0.300	[(ops)]
SP2	150.840	159.270	8.430	cioé che non la vuoi sala- cioé ch-che non vuoi mettere il sale nel condimento nella pasta però non salare l'acqua quando la bolli è [illegale °cazzo°]
SP3	158.250	159.270	1.020	[eh no esatto]
SP1	159.280	160.020	0.740	è illegale eh
SP1	161.040	168.040	7.000	lo so ma t- vi giuro che io sento ormai sempre salato pure se ci metti un pizzico io non ce la faccio a mangiarlo non so quante volte ho litigato con mamma
SP2	168.290	169.420	1.130	vabbé meglio così
SP1	170.270	172.620	2.350	perché la sento oggettivamente salata
SP5	175.640	177.420	1.780	io comunque non so voi ma ho ancora fame voi?
SP6	178.160	180.860	2.700	io: non particolarmente ma [(vi va)] di queste melanzanette
SP1	179.460	179.940	0.480	[io no]
SP4	181.090	184.680	3.590	io voglio quelle zucchine di emiliana (.) non [xxxx]
SP6	184.150	184.680	0.530	[(è onto)]
SP1	184.670	187.970	3.300	Smettila tanto se già le hai assaggiate mamma mia mi fanno schifo ste cose
SP3	189.530	189.920	0.390	vabbé
SP6	192.220	194.260	2.040	non sono quelle della mamma? però sono buone
SP1	194.200	197.180	2.980	 sono buone proprio amo sono: sott'aceto non sott'olio
SP6	197.240	198.040	0.800	è vero (.) però
SP1	198.120	199.050	0.930	no son bruttissime
SP6	199.100	199.530	0.430	(Vi)
SP6	199.910	203.080	3.170	xxxx se fai questa cattiva pubblicità roberto non se le mangia
SP4	204.050	207.090	3.040	ma a me manco piacciono mi piacciono solo quelle di mamma
SP6	208.070	208.320	0.250	uhm
SP6	208.910	210.630	1.720	a me piacciono soltanto quelle della mamma di roberto
SP4	211.110	212.710	1.600	fanno schifo sanno di zenzero
SP1	212.860	214.210	1.350	sono mh di zenzero?
SP3	214.200	214.670	0.470	ma no
SP1	214.960	216.090	1.130	zenzero non saprei
SP2	218.450	219.820	1.370	per me come (viviano) sanno di aceto
SP5	220.150	221.110	0.960	no non sono buone
SP5	221.360	222.150	0.790	sono brutte proprio
SP1	222.320	223.620	1.300	si sono brutte:
SP6	223.900	226.100	2.200	che dite le buttiamo e apriamo quelle della mamma di roberto?
SP1	226.550	227.690	1.140	e:h [io]
SP6	226.950	227.680	0.730	[che ne pensate]?
SP5	228.060	228.640	0.580	beh peccato
SP1	229.120	230.220	1.100	è un po' uno spreco
SP6	231.220	233.570	2.350	e lo so raga però: pure io xxxx per forza
SP5	232.420	235.680	3.260	[però sono veramente bru]tte queste sembrano finte mamma mia che è?
SP1	235.730	237.360	1.630	eh sono bruttissime:
SP5	237.510	238.900	1.390	non hanno texture sono
SP2	241.230	244.090	2.860	io un tempo compravo quelle là: della lidl
SP1	244.650	244.990	0.340	mh
SP2	246.050	246.630	0.580	(baresa)
SP1	246.740	250.340	3.600	no ma ce ne sono delle marche in barattolo che sono nuove ma queste proprio brutte
SP6	250.470	253.870	3.400	no ma questo (sarò) da amico in teoria dovrebbe cioè (marca xxx) costa
SP2	252.430	253.560	1.130	costano eh
SP2	254.120	255.120	1.000	costano queste
SP1	256.390	257.790	1.400	come mai mamma l'ha comprata
SP4	257.640	258.450	0.810	((ride))
SP1	258.450	259.810	1.360	((ride))
SP5	259.790	260.580	0.790	ha fatto i soldi
SP1	260.340	262.030	1.690	(lo sai)? infatti ((ride))
SP6	262.040	264.820	2.780	infatti (la cosa bella è che) non era un md ha detto oh oh
SP1	264.870	265.430	0.560	ma scusami?
SP2	265.860	266.640	0.780	qualcosa non va
SP3	267.550	270.030	2.480	eh ma le raga: loro vanno anche alla conad no?
SP1	270.790	272.630	1.840	sì però in genere:
SP1	272.930	274.150	1.220	per il pane
SP1	275.115	275.534	0.419	perché
SP1	276.986	280.472	3.486	no sul pane abbiamo i vizi ma su tutto il resto siamo abbastanza chill
SP2	280.549	282.097	1.548	(ma) nella conad (al gelì)
SP6	282.097	282.858	0.761	m:h buono
SP1	282.854	283.664	0.810	è buonissima
SP2	284.093	285.527	1.434	mamma mia mai mangiato un pane così
SP3	286.429	286.792	0.363	vero
SP2	289.288	293.381	4.093	è anche più buono di quello al viallaggio della paninoteca: eh della: [xxx]
SP1	292.173	293.389	1.216	[pure secondo me sai?]
SP5	293.819	294.173	0.354	come si chiama?
SP3	294.460	295.146	0.686	la (panichelli)
SP3	295.363	295.925	0.562	la panetteria
SP3	297.381	298.469	1.088	è molto molto buono
SP2	300.743	302.133	1.390	papà quando c'è la (polacca) là
SP2	302.540	303.876	1.336	li fa (aggiungere) tantissimo
SP3	304.093	304.336	0.243	perché?
SP2	304.465	307.274	2.809	infatti
